device_id,type,kit
MIOTY-0001,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0002,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0003,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0004,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0005,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0006,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0007,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0008,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0009,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0010,Aranet Mioty T/RH,xw45-34df-343s-1234
MIOTY-0011,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0012,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0013,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0014,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0015,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0016,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0017,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0018,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0019,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0020,Aranet Mioty CO2,xw45-34df-343s-1234
MIOTY-0021,Aranet Mioty Soil,xw45-34df-343s-1234
MIOTY-0022,Aranet Mioty Soil,xw45-34df-343s-1234
MIOTY-0023,Aranet Mioty Soil,xw45-34df-343s-1234
MIOTY-0024,Aranet Mioty Soil,xw45-34df-343s-1234
MIOTY-0025,Aranet Mioty Soil,xw45-34df-343s-1234
